Immediately Invoked Function Expression）；IIFE;
correctly	adv.正确地，得体地.实事求是.;
regardless	adv.不顾后果地.不管怎样，无论如何.不惜费用地.;adj.不重视的，不尊敬的.不顾虑的，不关心的.不受注意的，毫无价值的.;
either	adj.任一的,(两方中的)每一方的 pron.任一,随便任一个 conj.或者,也
elevator	n.电梯.升降机（美）.谷仓.;
resolve	vt.& vi.决定.决心.;vt.使消释.使分解，使解体.（指委员会或集会）表决.消退（炎症等）.;vi.下决定.分解.;n.决意，决定.（会议等的）决议.;
floor	n.(房间,走廊等的)地面,地板,基底,(室内的)场地,层,海底,议员席vt.在...上铺(地板),击倒,(被困难)难倒
tall	adj.身材高的，高大的.（数量）大的.（俚）过分的，夸张的.;adv.夸大地.趾高气扬地.;
visualize	vt.形成思维图像.设想.使可见.;vi.形成思维图像.;
metaphor	n.[修辞]隐喻,暗喻,比喻说话
building	n.建筑物.楼房.房屋.建筑（艺术或行业）.;v.build的现在分词.;
stop	vi.停止.中断.逗留.（使）停止工作.;vt.塞住.堵塞.阻挠.止付.;n.停止.（管风琴的）音栓.停车站.（管风琴的）音管.;
search	v.搜寻，搜索.调查.搜查.探求.;n.搜索.调查.探求.;
keep	n.保持,保养,生计,监狱,[史]要塞vt.保持,保存,遵守,经营,看守,拘留,维持,记(日记,帐等)vi.保持,继续不断
rent	v.租,租借,出租n.租金
cur	光标资源文件n.杂种,坏种,恶狗,卑贱的人,胆怯的家伙
traversing	v.横越，穿越，横贯( traverse的现在分词 ).（爬山时）作Z形攀登.;
yep	adv.<俚>是.;
oh	int.（表示恐惧、惊讶、疑虑等）噢.啊.哎呀.冠于人名前，起呼语作用.;
fish	n.鱼，鱼肉，鱼类.〈口〉（特殊的）人物，家伙，东西.[建]接合板，夹片，鱼尾板.[航]钓锚器，撑夹桅杆的加固夹箍.;vt.& vi.捕鱼.钓鱼.摸出.掏出.;vt.钓鱼，捕鱼.搜寻.[航]加夹箍夹牢.[工]用接合板连接[加固].;vi.捕鱼，钓鱼.用钩捞取.;
nope	adv.不，不是.;
hear	vt.& vi.听到，听见.;vt.听说.得知.听取.审理.;vi.听.听见.;
over	adv.结束,越过,从头到尾 prep.在...之上,越过adj.上面的vt.额外的东西,越过n.额外的东西
revisit	vt.重游.再访.重临.回到.;n.重访问.再参观.;
surrounding	n.围绕物,环境adj.周围的
resolved	adj.下定决心的，断然的.坚决的.已解决的.;v.做决定，分解(resolve的过去式和过去分词).;
reach	n.延伸,区域,河段,范围,(车子前后轴的)联接杆,横风行驶vt.到达,达到,伸出,影响vi.达到,延伸,伸出手,传开
global	adj.全球的，全球性的，有关全球大局的.全面的，整体的，全局的.球形的，球状的，球面的，球体的.[计]全程的.;
outermost	adj.最外面的，离中心最远的.;
until	 prep.到...为止,在...以前 conj.到...为止,在...以前,直到...才
continue	vi.持续.逗留.维持原状.;vt.延期.使延伸.使持续.继续说.;
consult	vi.商议，商量.[医]会诊.咨询.充当顾问.;vt.请教.翻阅.求教于.顾及.;
immediate	adj.立即的.直接的，最接近的.目前的，当前的.直觉的.;
cannot	=can not.未可.不能.不可.;
return	n.回来,返回,来回票,利润,回答adj.返回的,回程的,报答的,反向的,重现的vi.回返,归还vt.归还,回报,报告,获得,回答,返回
play	n.游戏,比赛,运动,赌博,剧本v.玩,扮演,播放,进行比赛v.播放
far	adv.久远地.（问到或谈及距离时说）有多远.到很远距离.到很大程度.;adj.远的.遥远的.（某方向的）最远的.远端的.;n.远方.;
quiz	n.提问，询问.小型考试.简单的小测验.恶作剧.;vt.盘问.挖苦.进行测试.张望.;
cool	adj.冷静的.凉爽的.一流的.孤傲冷漠的.;vt.& vi.（使）变凉.（使）冷静，使冷却.变凉，冷却.平息.;n.凉气，凉快的地方.凉爽，凉爽的空气.;
change	vt.改变，变更.交换，替换.兑换.换衣服（床单）.;vi.改变，转变.交换，互换.换衣，更衣.;n.变化，改变.交换，交替.零钱，找头.代替物.;
double	n.两倍,[计] 双精度型adj.两倍的,双重的vt.使加倍vi.加倍,快步走,加倍努力
yo	int.唷（水手拉绳时一道发出的叫声）.;
ya	abbr.yarn 线.yaw axis 偏航轴.young adults 青壮年.;
built	vbl.build的过去式和过去分词
sorry	adj.对不起的.无价值的，低等的.遗憾的.感到伤心的.;
always	adv.总是，老是.永远，始终.常常.不断地.;
helpful	adj.给予帮助的，有益的.愿意帮忙的.;
recently	adv.最近，近来.不久以前.近日.新近.;
formal	adj.（学校教育或培训）正规的.方式上的.礼仪上的.;n.<美>须穿礼服的社交集会.<口>夜礼服.;
got	v.得到(get的过去式和过去分词).抓住.说服.受到（惩罚等）.;
ok	abbr.ohne kosten (German=without cost) （德语）不计价.不受约束.ola kala (Greek=all is fine, all is good) （希腊语）都很好（古代希腊水手最早使用）.outer keel 外（平板）龙骨.;
thanks	n.感谢，谢谢.感谢，谢谢，道谢的话( thank的名词复数 ).;int.感激（的），致谢（的）.;v.谢谢，感谢( thank的第三人称单数 ).责怪.;
ago	adv.以前.过去的.之前.;
yes	adv.n.是
heard	v.听到，听见( hear的过去式和过去分词 ).听说.得知.听取.;
hey	int.（用以引起注意，表示惊异或询问）嘿，喂.你好！（表示问候）.咳.;n.干草（等于hay）.;
imagine	vt.想，设想.想像.料想，猜想.误认为.;vi.想象.猜想，推测.;
discuss	vt.讨论，谈论.论述，详述.商量.;
appropriate	adj.适当的.恰当的.合适的.;v.盗用.侵吞.拨（专款等） .;
thus	adv.于是，因此.如此，这样，像这样，例如.到这程度，到这地步，这么.如下.;conj.因此.;
necessary	adj.必要的.强制的.必然的.不可避免的.;n.必需品.;
definition	n.定义,解说,精确度,(轮廓影像等的)清晰度
er	symb [化]铒 (erbium)  (英国)伊丽莎白女王 ER(Queen Elizabeth)
involving	v.表明（某人参与了罪行等）( involve的现在分词 ).使参与.牵涉.使专心于.;
tempting	adj.吸引人的.诱人的.;v.引诱或怂恿（某人）干不正当的事( tempt的现在分词).;
normal	adj.正常的.正规的，标准的.[数学]正交的.精神健全的.;n.正常，常态.标准.[数学]法线.;
tempt	vt.诱惑,引诱,吸引,使感兴趣,考验,试探
native	adj.本国的.土著的.天生的.天真的，纯朴的.;n.当地人.土著人.当地产的动（植）物.;
inside	n.里面,内部,内脏,内情adj.内部的,秘密的,于室内工作的adv.在里面 prep.在...之内
exchange	n.交换.交易.交易所.兑换（率）.;vt.交换，互换.兑换.交换，调换.;vi.交换，替换.进行易货贸易，作物物交换.[金融业]（货币）交换，兑换.;
conceptualize	vt.使有概念.;vi.概念化.;
method	n.方法.条理.;
resolution	n.坚定,决心,决定,决议;分辨率
property	n.特性，属性.财产，地产.[戏]道具.所有权.;
object	n.物体,目标,宾语,对象vi.反对,拒绝,抗议vt.提出...来反对
implicitly	adv.含蓄地.暗示地.无疑问地.无保留地.;
parameter	n.[数]参数.<物><数>参量.限制因素.决定因素.;
argument	n.争论,辩论,论据,论点,～ (for,against),意见
implied	adj.暗指的，含蓄的.;v.暗示，暗指( imply的过去式和过去分词 ).必然包含.说明，表明.;
mis	abbr.miscarriage 失败.mistake(n) 误解.metal insulator semicondoctor 金属绝缘半导体.missing 未击中的.;
moreover	adv.再者.此外.而且.同时.;
line	n.绳,索,线路,航线,诗句vt.排成一行,顺...排列,划线于,使有线条,使起皱纹vi.排队
last	adj.最后的,临终的,末尾的,最近的,结论性的vi.持续,支持,维持vt.使维持,楦adv.最后,后来n.最后,末尾,临终,鞋楦头
conceptually	adv.概念地.;
better	adj.较好的.更合适的.能力更强的.好转的.;adv.更好地.更妥.更.;v.胜过.上进.;n.更好者.更有才智者.;
operator	n.操作员,工作者,(电话)接线员,报务员,手术员,行家,经营者,算子
necessarily	adv.必要地.必需地.必定地.必然地.;
left	adj.左边的，左侧的.左派的.;n.左，左面.[军]左翼.左派，激进分子.;adv.向左.在左边.;v.离开( leave的过去式和过去分词).;
meaning	n.意思，意义.含义.意图.;adj.有意思的.意味深长的.;vt.意味(mean的现在分词).意思是.;
want	vt.想要,希望,需要,短缺,缺少n.需要,短缺
care	n.注意,照料,烦恼,忧虑,由...转交vi.关心,顾虑,照顾,喜爱vt.在意
contrast	vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异
passe	adj.已过盛年的，凋谢的.;
signed	adj.[计] 有符号的,有正负之分的
nothing	pron.没有东西.没有事情.无关紧要的东西.毫无趣味的事.;n.无关紧要的人[事].零.无.;adv.毫不.决不.;
reference	n.参考.参考书.提及，涉及.证明人，介绍人.;v.引用.参照.;
log	n.航行日志,原木,园形木材,园木v.把...记入航行日志,伐木,把...锯成段
console	vt.安慰，慰问.;n.控制台，操纵台.演奏台.悬臂.肘托.;
go	vi.离去,走,进行,变成,趋于,达到,求助于,诉诸vt.以...打赌,忍受,出产n.去,进行
imply	vt.& vi.暗示.意味.隐含.说明，表明.;
her	pron.(she的宾格)她.(she的所有格)她的.她，指某个国家，（一艘）船.;
moment	n.瞬间，片刻.时刻.重要，紧要.[物]力矩.;
glib	adj.<贬>（演讲者或演讲）油腔滑调的.不诚恳的.未经思考的.肤浅的.;
slightly	adv.轻微地，轻轻地.细长地，苗条地.〈罕〉轻蔑地.粗.;
means	n.方法（ mean的名词复数）.手段.收入.财富.;v.意味着（ mean的第三人称单数）.引起.打算或注定要某人成为或做某事.;
accurately	adv.正确无误地，准确地.精确地.如实.;
se	abbr.Sweden 瑞典.standard error （平均）标准误差.;n.[化]元素硒(selenium)的符号，硒.;
con	vt.记诵,精读adv.反对地,反面n.反对票,反对论,[医]肺病;console,控制台
trying	adj.令人难于忍受的.难堪的.令人厌烦的.;v.试图( try的现在分词).试验，尝试.审讯.;
whereas	 conj.然而,反之,鉴于,尽管,但是
precise	adj.清晰的.精确的.正规的.精密.;
operation	n.运转,操作,实施,作用,业务,工作,手术,军事行动
side	n.边,旁边,面,侧面,胁,一方,(一个)方面,摆架子adj.旁边的,侧面的,副的,枝节的vi.站在同一边
mean	adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的vt.意谓,想要,预定vi.用意,有意义n.平均数,中间,中庸
guess	vt.推测.猜测，臆测.猜中.假定，认为.;vi.猜，猜测.猜对.;n.猜测.推断.;
bet	n.赌,打赌v.赌,赌钱
lookup	v.查找.查表.;
said	adj.[律]上述的.少说为妙.（做）某事有/没有很多优点（或好处）：某事物有/没有多少可说的.说到底.;v.说，讲( say的过去式和过去分词 ).表明.念.说明.;
case	n.事,病例,案例,情形,场合,讼案,容器,(语法)格
outcome	n.结果.成果.出路.;
affect	vt.影响.假装.感动.（疾病）侵袭.;n.感情，情感，心情.[精神病学]（表露或觉察到的）情绪反应.;
type	n.类型,典型,模范,[印刷]活字,铅字v.打字,测定(血等)类型
consulting	adj.商议的，顾问资格的，咨询的.;v.商议，商量( consult的现在分词 ).请教.翻阅.求教于.;
further	adj.更远的，较远的.更进一步的，深一层的.更多的.;adv.进一步地.更远地.而且.;vt.促进，推动.增进.;
terminology	n.专门名词.术语，术语学.用辞.;
found	vt.创办，成立，建立.;v.发现（ find的过去式）.找到.到达.发觉.;
second	n.秒.瞬间.次货.第二份食物.;adj.第二的.次要的.居第二位的.另外的.;adv.第二.其次.以第二位.;vt.支持.临时调派.附议.赞成提案.;
action	n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉
summarize	v.概述,总结,摘要而言
yell	vt.& vi.叫喊，大声叫.叫喊着说.;n.叫喊，大声叫.（拉拉队鼓动运动员的）呼喊声.;
raise	n.上升,高地,提出vt.升起,唤起,提高,使出现,解除,饲养,筹集,使复活
assign	vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符
eventually	adv.终于，最后.竟.总归.终究.;
lection	n.[宗]经文(礼拜时选读的)
col	n.关口,峡路,关隘  [军]上校 Col(Colonel)
current	adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流
assignment	n.分给，分配.任务，工作，（课外）作业.<美>任命.指定，委派.;
declare	vt.宣布.声明，声称.申报.[法]供述.;vi.声明，发表宣言.宣称.;
otherwise	adv.否则.另外.别的方式.;adj.别的，另外的.不同的.;conj.否则，不然.;
move	vt.& vi.移动，搬动.;vi.搬家.行动.进展.（机器等）开动.;vt.提议.使感动.摇动.变化.;n.改变.迁移.;
declaration	n.宣言，布告，公告，声明.（纳税品在海关的）申报.[法]（原告的）申诉，（证人的）陈述，口供.[牌]摊牌，叫牌.;
ignore	vt.不理睬,忽视,[律](因证据不足而)驳回诉讼
particular	adj.特别的.详细的.独有的.挑剔的.;n.特色，特点.（可分类，列举的）项目.详细情节，细情，细目.某一事项.;
exist	vi.存在.生存.生活.继续存在.;
already	adv.早已，已经.先前.;
proceed	vi.进行.前进.（沿特定路线）行进.（尤指打断后）继续说.;n.收入，获利.;
accurate	adj.精确的，准确的.正确无误的.;
quite	adv.相当，很.非常.确实如此.;
stick	vt.& vi.粘贴.张贴.插入.刺入.;vt.容忍.产生作用.（尤指迅速或随手）放置.阻延或推迟.;n.棍棒，棍枝.枝条.操纵杆.球棍.;
label	n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签
allocate	vt.分派,分配
pseudocode	伪代码.;
summed	v.总计 vbl.总计
produce	vt.& vi.生产.产生.制作.创作.;vt.制造.出示.引起.[经济学]生利.;n.产品.产量.产额.结果.;
assumption	n.假定,设想,担任,承当,假装,作态,圣母升天
reasonable	adj.合理的，公道的.明白道理的.适当的.有理性的.;
somewhat	adv.稍微.有点.达到某种程度.;n.少量.某些数量.某种程度.;
treat	n.宴请,款待,请客vt.视为,对待,论述,治疗,款待vi.交涉,谈判,协商,款待,作东
break	vt.（使）破.打破（纪录）.（常指好天气）突变.开始.;vi.（嗓音）突变.突破.破晓.（价格）突然下跌.;n.破裂.中间休息.间断.短假.;
during	 prep.在...的期间,在...的时候
forth	adv.往前,向外
begin	v.开始,首先
currently	adv.当前，目前.通常，一般，现在.容易，流畅.普遍地.;
accessible	adj.易接近的.可理解的.易相处的.易感的.;
strict	adj.精确的.绝对的.严格的，严谨的.[植]笔直的.;
enforce	vt.强迫服从.实施，执行.加强.;
identifiers	标识符.;
declared	adj.公告的，公然的.;v.宣布( declare的过去式和过去分词 ).断言.申报（收益）.板球（在击球员还未全部出局时）宣布结束赛局.;
maintain	vt.保持.保养.坚持.固执己见.;
collect	vt.收集.收藏.接走.聚积.;vi.募捐.募集.;adj.由受话人付费的.;
section	n.部分,断片,部件,节,项,区,地域,截面
previous	adj.在前的,早先的adv.在...以前 返回上一级菜单
dirty	adj.恶劣的.肮脏的.卑劣的.下流的.;vt.弄脏，污染.使名声受玷污.;vi.变脏，污染.;
handle	n.（织物、毛皮等的）手感.手柄.举动.柄状物.;vi.操作，操控.容易搬运.;vt.用双手触摸、举起或握住.用手操作，操纵.处理或负责，管理.〈美〉买卖，经营.;
finish	n.完成,结束,磨光,末道漆,完美vt.完成,结束,用完,毁掉,使完美vi.结束,终结,停止,终止
responsible	adj.尽责的.承担责任.负有责任的.懂道理的.;
listen	vi.倾听.留心听.听信.（让对方注意）听着.;n.听，倾听.;
interact	v.相互作用.互相影响.互动.;
meet	vt.& vi.相遇.相识.开会.接触（某物）.;vt.满足.支付.迎接.经历（常指不愉快的事）.;n.运动会，体育比赛.猎狐运动（尤其英式英语）.;adj.适当的.合适的.恰当的.;
cast	vt.铸造.投掷.投射.脱落，脱皮.;n.铸型.演员表.轻微的斜视.投，掷骰.;vi.掷，投.计算，加.;
conversation	n.交谈，会话.交往，交际.会谈.（人与计算机的）人机对话.;
cess	n.税,税率,<爱>运气(=luck)
approach	vt.& vi.接近，走近，靠近.;vt.接近.着手处理.使移近.试图贿赂（或影响，疏通）.;n.方法.途径.接近.;vi.靠近.;
ready	adj.有准备的,准备完毕的,甘心的,情愿的,现成的,迅速的
pile	n.堆,大堆,高大建筑,<美口>大量钱财,<美>[核]反应堆,[电]电池组vi.堆起,堆积,积累,挤vt.堆于,累积,堆叠,打桩于,用桩支撑
snippet	n.小片,片断,摘录,<口>不足道的人,不知天高地厚的年轻人
sake	n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒
simplicity	n.简单，朴素.质朴，天真.卑贱.无知.;
discussion	n.讨论，谈论.详述，论述.;
hot	adj.热的.辣的.激动的.热门的.;vt.使兴奋，使激动.;adv.热的.紧迫的.;vi.变热.;
lazy	adj.懒惰的.没精打采的.慢吞吞的.;
trick	n.戏法，把戏.计谋，诀窍.骗局.恶作剧.;vt.哄骗，欺骗.打扮.;adj.弄虚作假的.有诀窍的.欺诈的.;
kind	n.〈古〉方式，方法.本质，天性.同类.某类.;adj.仁慈的，体贴的.友善的，好心的.温和.宽宏大量的.;
fast	adj.快的.走得快.感光快的.紧的.;adv.（比准确的时间或宣布的时间）快.迅速地.紧紧地.彻底地.;vi.禁食，（尤指）斋戒.;n.禁食期，斋戒期.断食，节食.;
ensure	vt.确保.担保获得[避免].使（某人）获得.使安全.;
microsecond	n.一百万分之一秒，微秒.;
mere	adj.仅仅，只不过.小的，轻微的.纯粹的.;n.小湖，池塘.〈英〉边境（线）.;
cases	n.案例.病例( case的名词复数 ).（需特别对待或注意的）人.事例.容器.;
occur	vi.发生.出现.闪现.;
ahead	adv.在（某人或某事物的）前面.向前.预先.在将来，为未来.;
build	v.建造,建筑n.构造,体格,体形
plenty	n.丰富，大量.充足，充裕，充分.;adv.相当地，充分地.（口）十分，充分.;adj.足够的，很多的，充裕的.很多的.;
luxury	n.奢侈，豪华.奢侈品，美食，美衣.乐趣，享受.不常有的乐趣（或享受、优势）.;adj.奢华的，豪华的.;
relevant	adj.有关的，中肯的.相关联的.确切的.有重大意义[作用]的，实质性的.;
high	adj.高的.高尚的，崇高的.高音调的.高级的，高等的.;adv.（程度等）高地.高价地.奢侈地.;n.高处，高位.[气象学]高气压.高压地带.高水平.;
shortly	adv.立刻，马上.简单地，扼要地.唐突地，简慢地.在即.;
think	vt.想.思索.以为.看待.;vi.思辩.考虑.构想.回忆.;adj.深思的.供思考的.;n.想.想法.;
stroke	n.一击.击球.划水动作.中风.;vt.划掉.轻抚.轻触.敲击.;vi.击球.作尾桨手，指挥划桨.;
painting	n.绘画.油画.上色，着色.颜料，油漆.;v.绘画（ paint的现在分词）.涂色于.;
collapse	vi.折叠.倒塌.崩溃.（尤指工作劳累后）坐下.;vt.使倒塌.使坍塌.使瓦解.;n.垮台.（身体的）衰弱.;
execution	n.实行,完成,执行,死刑,制作,(武器等的)破坏效果,杀伤力
performance	n.履行,执行,成绩,性能,表演,演奏
optimize	vt.使最优化，使尽可能有效.;
certainly	adv.无疑.当然.确定.肯定.;
able	adj.能够的.有能力的.有才干的.干练的.;
ted	vt.翻晒.;
gran	n.<非>奶奶，外祖母.;
manage	vt.使用.完成（困难的事）.经营.明智地使用（金钱、时间、信息等）.;vt.& vi.办理，设法对付.;vi.能解决（问题）.应付（困难局面等）.凑合着活下去.支撑.;
then	adv.那时.然后.那么.话说回来.;adj.当时的.那时的.;
memory	n.记忆,记忆力,回忆,存储(器),存储器 存储器,内存
reserve	n.储备.保护区.保留.替补队员.;vt.储备.保留.预约.;vi.预订.;adj.保留的.预备的.;
create	vt.创造,创作,引起,造成
actually	adv.实际上,事实上,竟然,居然,如今
instruction	n.授课.教诲.传授的或获得的知识，课程.[计算机科学]指令.;
machine	n.机器,机械,机动车辆,机构,设计,机械般工作的人,(政党的)领导集团,核心组织vt.机器制造,用车床加工
turn	n.转动,旋转,转变方向,轮流,时机,(一)回,倾向,癖性v.(使)转动,翻转,扭转,(使)变质,超过(年龄,数量等),车(成)
previously	adv.先前,以前
there	adv.在那里.那里.在那一点上.;pron.表示某物或某人的存在或某事的发生（常用作be, seem或appear的主语）.;int.（表示满足、烦恼）你瞧，好啦，得啦.;
say	vi.说， 讲.表明，宣称.假设.约莫.;vt.表明.念.说明.比方说.;n.发言权.说话.要说的话.发言权.;
mire	n.<尤文>泥潭.;vt.& vi.深陷.;
rather	adv.稍微，有点.相当，颇.宁愿.相反地.;int.当然啦，怎么不.;
vary	vi.变化.不同，偏离.[生]变异.;vt.使不同.使多样化.[音乐]变奏.;
executable	adj.实行的，执行的.可执行.;
generation	n.一代人.代（约30年），时代.生殖.产生.;
itself	pron.(it的反身形式).它自己，它本身.自身，本身.;
sion	 (=Zion)n.锡安,以色列人民
whose	pron.谁的.那个人的，那些人的.他的，他们的.;
node	n.节点.（计算机网络的）节点.[医]结节.植物的节.;
top	n.顶部,顶端,极点,顶蓬,陀螺,(常用复数)根菜植物的叶子,上部,盖子adj.最高的,顶上的,头等的vt.盖,戴,高耸,达到顶端,截去(植物)顶端,高过,超越vi.结束,完成,胜过
might	v.(past tense,past participle of may see may)n.力量,威力,权力,能,可能 aux.可以
abstract	adj.抽象的，理论上的.难解的.抽象派的.茫然的.;n.抽象概念.抽象派艺术作品.摘要.[化]萃取物.;vt.提取，分离.转移（注意等）.概括，摘录.<婉辞>剽窃.;
ast	abbr.astronomy 天文学.absolute space-time 绝对时空.air staff target 航空职员工作目标.advanced supersonic transport 高级超声波运输机.;
structure	n.结构.构造.建筑物.体系.;vt.构成，排列.安排.;
grammatical	adj.语法上的，符合语法规则的.;
represent	vt.表现，象征.代表，代理.扮演.作为示范.;vi.代表.提出异议.;
collectively	adv.全体地，共同地.;
tree	n.树,木料,树状物vt.赶上树n.[计] 显示驱动器的子目录结构vi.爬上树,逃上树
turning	n.旋转,转向,转弯处
array	n.队列，阵列.数组.一大批.衣服.;vt.排列.部署兵力.打扮，装饰.;
stream	n.河流，小河，川，溪.潮流，趋势，倾向.（事件等的）连续，（财富等的）滚滚而来.流出，流注，一连串.;vt.& vi.流，流动.;vi.飘扬.招展.鱼贯而行.一个接一个地移动.;vt.按能力分班（或分组）.按能力分班（或分组）.;
another	adj.又一个.再一个.另一的.其他一种.;pron.另一个，别个.再一个.;
distinct	adj.明显的，清楚的.卓越的，不寻常的.有区别的.确切的.;
fig	n.[植]无花果,无花果树,无价值的东西,少许,一些,服装vt.打扮,使马跑快
parse	vt.从语法上描述或分析（词句等）.;
invoke	v.调用
were	be的过去时复数和第二人称单数形式.有时代替 was,用于条件从句、动词 wish 之后等.;
stateless	adj.无国家的，无国籍的.;
center	n.中心.（球队的） 中锋.中心区.中枢.;adj.中央的，位于正中的.（在）中心的.;vt.集中.使聚集在一点.定中心.居中.;vi.居中，有中心，被置于中心.;
academic	adj.学院的，大学的，学会的，（学术，文艺）协会的.学究的，学理上的，空谈的，非实用的.〈美〉文科的，文学的.柏拉图学派的.;n.学者.大学教师，大学生，学会会员.纸上空论，空论.[A-]柏拉图哲学信奉者.;
between	 prep.在...之间,连接...,由...协力合作
difference	n.差异,差别,分歧,争论,[数]差额,差分adj.[数]微分的,[机]差动的
whether	pron.其中的哪一个.;n.可能的选择.;
persist	v.坚持.固执.存留.继续存在.;
soon	adv.立刻，马上.一会儿，不久.快.宁愿.;
blacklist	n.（受怀疑、受冷遇等的）黑名单.;vt.把（某人）列入黑名单.;
put	vt.放,摆,安置,表达,迫使,移动,提出,赋予vi.出发,航行,发芽,击n.掷,投击,笨蛋,怪人 vbl.put的过去式和过去分词adj.固定不动的
edition	n.版次，版本.（报纸、杂志的）一份.（广播、电视节目的）一期.（书、报、杂志等的）一版印刷总数.;
sale	n.出售,卖出,贱卖,廉价出售,销路,销售额
publish	v.出版,刊印vt.公布,发表
america	n.美洲.美国.[电影]亚美利加.;
printed	adj.印刷的,已印好的
mixing	n.混合，混频.;v.混合( mix的现在分词 ).（使）结交.相容.平安相处.;
fairly	adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地
giving	n.礼物，给予物.;v.给予，赠送( give的现在分词 ).（与名词连用描述某一动作，意义与该名词相应的动词相同）.供给.交给.;
assuming	conj.如果.;adj.傲慢的，自负的.僭越的.;v.取得（权力）( assume的现在分词).假设(assume的ing形式).假定.呈现.;
former	adj.以前的，从前的.在前的.前任的.;n.模型，样板.构成者，创造者.起形成作用的人.[无线]线圈架.;
calls	n.调用.;v.叫( call的第三人称单数 ).通电话.认为.估计.;
safer	adj.safe的比较级.;
technically	adv.技术上.学术上.专业上.严格说来.;
adding	n.加，增加.;v.加( add的现在分词 ).加入.增加.添加.;
fixed	adj.固定的,确定的,准备好的,固执的,不易发挥的,<美口>(在经济上)处境...的
shadowed	[计][WIN]附有阴影.;
covered	adj.大量的.有遮盖物的，（尤指）有顶的.;v.覆盖( cover的过去式和过去分词).掩护.包括.;
added	adj.更多的.附加的.额外的.;v.加.加入.增加.添加.;
bother	vt.烦扰,打扰vi.烦恼,操心n.麻烦,烦扰v.打扰
processing	n.（数据）处理.整理.配置.工艺（生产方法）设计.;v.加工( process的现在分词 ).处理.审阅.审核.;
performing	adj.表演的，履行的.;v.执行( perform的现在分词 ).履行.表演.扮演.;
assumed	adj.假装的.假冒的.假定的.被承担的.;v.取得（权力）( assume的过去式和过去分词 ).假设.假定.呈现.;
differently	adv.不同地，相异地.;
identifier	n.检验人，标识符.鉴别器.编号.识别符.;
simply	adv.简单地，朴素地.（引出概括或解释）不过，仅仅.简直.<非正>实在.;
broken	adj.破碎的，打碎的.（腿，臂等）已骨折的.（线条）虚线的，断续的.被打断的.;v.打破，折断(break的过去分词).打破（纪录）.损坏.;
var	n.[电]乏,无功伏安(无功功率单位)
instance	n.实例,建议,要求,情况,场合vt.举...为例,获得例证
token	n.代币.象征.记号.;adj.作为对某事的保证的.象征性的.作为标志的.;vt.预兆：预示或象征，预兆.;
meaningful	adj.意味深长的.有意义的.有意图的.隽.;
character	n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征
string	n.绳子，带子.线丝，植物纤维.串.[计算机科学]字符串.;vt.上弦，调弦.使排成一行或一系列.绑，系或用线挂起.延伸或扩展.;
breaking	n.破坏，阻断.;v.打破，折断，弄坏( break的现在分词 ).（使）破.打破（纪录）.（常指好天气）突变.;
roughly	adv.粗略地.大体上.大致上.粗暴地.;
execute	vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效
before	adv.在前,以前 prep.在...之前 conj.在...之前,与其...宁可
three	num.三.三个.第三（章，页等）.;n.三岁.三个人[东西].三，三个.;adj.三的.三个的.;
typically	adv.典型地.代表性地.通常.;
undergo	vt.经历，经验.遭受，承受.;
source	n.来源,水源,消息来源,原始资料,发起者 源,源极
process	n.过程.工序.做事方法.工艺流程.;vt.加工.处理.审阅.审核.;vi.列队行进.;adj.经过特殊加工（或处理）的.;
traditional	adj.传统的.口传的.惯例的.因袭的.;
albeit	conj.虽然.即使.;
step	n.步，脚步.步骤，手段.步调.级别.;vt.& vi.举步，行走.踩，踏上.跨入.轻快地走.;vi.踏，踩.走.;vt.跳舞.迈步.使成阶梯状.;
same	adj.同一的,相同的,无变化的,上述的,所谓 pron.同样的事物adv.同样地
nevertheless	adv.然而.尽管如此.不过.仍然.;conj.然而.尽管如此.;
system	n.系统,体系,制度,体制,秩序,规律,方法
distributed	adj.分布式的
among	 prep.在...之中,...之一
portable	adj.手提的.轻便的.;n.手提式打字机.;
compilation	n.编辑.汇编.;
result	n.结果,成效,计算结果vi.起因,由于,以...为结果,导致
traditionally	adv.传统上，传说上.;
advance	n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)
compile	vt.汇编.编辑.编制.编译.;
interpret	vt.解释.理解.诠释，体现.口译.;vi.作解释.作口译.;
category	n.类型，部门，种类，类别，类目.[逻，哲]范畴.体重等级.;
despite	prep.不管.尽管（自己）不愿意.不在乎.虽有.;n.侮辱.憎恨.怨恨.轻蔑的拒绝或不承认.;
various	adj.各种各样的.多方面的.许多的.各个的，个别的.;
